date,precipitation,pet,temperature,discharge_spec,discharge_vol,peti,humidity,shortwave_rad,longwave_rad,windspeed
1995-11-09,2.57,0.09,4.40,0.76,1.39,0.11,4.47,25.56,299.12,2.22
1995-11-10,3.09,0.00,4.06,0.72,1.32,0.00,4.53,24.92,298.10,1.10
1995-11-11,3.29,0.32,5.75,1.00,1.83,0.52,5.28,16.36,321.55,7.66
1995-11-12,0.09,0.01,8.02,1.14,2.09,0.03,6.66,13.25,334.16,8.68
1995-11-13,0.00,0.36,9.60,0.99,1.81,0.36,6.55,16.24,339.11,4.24
1995-11-14,3.16,0.00,7.73,1.26,2.30,0.00,6.61,16.64,329.33,4.23
1995-11-15,3.18,1.00,4.40,2.14,3.92,1.34,3.92,8.10,312.13,8.98
1995-11-16,3.97,0.76,2.81,1.64,3.00,1.09,3.65,21.29,288.82,9.01
1995-11-17,3.33,0.60,2.11,1.52,2.78,0.87,3.54,18.62,290.27,7.22
1995-11-18,13.81,0.32,3.49,6.75,12.36,0.48,4.30,14.18,307.89,5.52
1995-11-19,0.52,0.02,4.85,3.66,6.70,0.03,5.12,14.49,314.51,3.44
1995-11-20,2.46,0.36,5.83,2.36,4.32,0.51,4.96,14.34,317.54,4.86
1995-11-21,0.76,0.45,7.96,2.05,3.76,0.66,5.90,13.54,329.91,6.85
1995-11-22,3.75,1.29,9.51,1.73,3.18,1.57,5.10,21.09,313.41,7.09
1995-11-23,4.52,0.00,8.66,2.27,4.15,0.00,7.68,13.77,332.72,7.60
1995-11-24,0.78,0.15,9.31,2.16,3.96,0.21,6.61,15.98,328.26,4.27
1995-11-25,0.00,0.00,8.16,1.65,3.02,0.00,6.47,13.92,327.42,3.17
1995-11-26,14.03,0.03,5.42,3.34,6.12,0.05,5.31,6.11,320.92,4.31
1995-11-27,3.46,0.01,6.63,6.91,12.65,0.02,5.72,16.53,310.83,4.81
1995-11-28,3.29,0.00,7.56,4.13,7.56,0.00,6.43,12.77,325.39,4.79
1995-11-29,0.12,0.05,7.29,3.18,5.82,0.07,5.88,13.51,320.37,3.79
1995-11-30,0.15,0.59,7.56,2.06,3.77,0.82,5.51,10.50,328.67,7.03
1995-12-01,0.00,1.12,8.10,1.66,3.03,1.12,5.09,11.24,326.80,8.22
1995-12-02,1.10,0.86,8.50,1.27,2.33,1.15,5.69,9.54,334.87,8.44
1995-12-03,5.06,0.16,9.13,1.83,3.35,0.26,6.85,6.45,339.34,7.16
1995-12-04,0.28,0.00,4.84,1.66,3.04,0.01,4.62,16.84,291.36,2.64
1995-12-05,1.17,0.46,3.32,1.35,2.47,0.68,4.06,9.25,307.47,6.30
1995-12-06,3.83,0.74,3.44,1.55,2.84,0.98,3.56,9.17,305.40,5.55
1995-12-07,3.96,0.40,2.91,4.37,8.01,0.57,3.77,10.38,299.60,4.72
1995-12-08,0.04,0.01,1.44,2.68,4.91,0.02,3.73,10.27,293.66,2.34
1995-12-09,0.00,0.40,3.31,1.84,3.37,0.40,4.09,4.77,308.48,6.01
1995-12-10,0.00,0.01,6.72,1.44,2.64,0.01,5.90,11.15,317.85,6.01
1995-12-11,0.00,0.00,4.04,1.17,2.14,0.00,4.98,11.58,302.74,1.90
1995-12-12,0.36,0.00,4.31,1.03,1.88,0.00,5.34,9.04,313.23,3.22
1995-12-13,0.00,0.19,3.99,0.92,1.68,0.19,4.47,4.56,312.65,4.25
1995-12-14,0.15,0.24,4.58,0.84,1.54,0.31,4.34,8.88,311.26,3.18
1995-12-15,0.00,0.00,4.54,0.78,1.42,0.00,4.61,4.49,315.34,1.48
1995-12-16,0.19,0.09,4.87,0.71,1.30,0.12,4.82,4.46,317.37,3.23
1995-12-17,0.72,0.12,4.64,0.68,1.24,0.16,4.37,8.85,311.08,2.31
1995-12-18,1.65,0.02,2.83,0.67,1.23,0.02,4.29,9.13,302.44,3.14
1995-12-19,2.25,0.28,0.83,0.69,1.27,0.43,3.50,8.17,294.76,5.69
